Serie,Date,Day,Month,Year,Site,Management,Transect,Latitud_1,Longitud_1,Latitud_2,Longitud_2,Station,Depth,Surface,Species,Stage,Abundance,Substrate,Community,Frondosity ,Observaciones,Muestreado por,Anotado por,Ingresado por
16,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,3,NaN,20, Lessonia trabeculata ,Juvenil,29,01-Mar,Ene-20,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
17,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,3,NaN,20, Lessonia trabeculata solo disco,NaN,0,01-Mar,Ene-20,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
18,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,3,NaN,20, Lessonia berteroana ,Adulto,0,01-Mar,Ene-20,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
19,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,3,NaN,20, Lessonia berteroana ,Juvenil,0,01-Mar,Ene-20,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
20,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,3,NaN,20, Macrocystis pyrifera ,Adulto,0,01-Mar,Ene-20,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
21,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,3,NaN,20, Macrocystis pyrifera ,Juvenil,0,01-Mar,Ene-20,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
22,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,4,NaN,20, Lessonia trabeculata ,Adulto,29,01-Mar,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
23,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,4,NaN,20, Lessonia trabeculata ,Juvenil,10,01-Mar,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
24,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,4,NaN,20, Lessonia trabeculata solo disco,NaN,0,01-Mar,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
25,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,4,NaN,20, Lessonia berteroana ,Adulto,0,01-Mar,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
26,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,4,NaN,20, Lessonia berteroana ,Juvenil,0,01-Mar,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
27,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,4,NaN,20, Macrocystis pyrifera ,Adulto,0,01-Mar,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
28,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,4,NaN,20, Macrocystis pyrifera ,Juvenil,0,01-Mar,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
29,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,5,NaN,20, Lessonia trabeculata ,Adulto,38,3,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
30,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,5,NaN,20, Lessonia trabeculata ,Juvenil,3,3,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
31,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,5,NaN,20, Lessonia trabeculata solo disco,NaN,0,3,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
32,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,5,NaN,20, Lessonia berteroana ,Adulto,0,3,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
33,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,5,NaN,20, Lessonia berteroana ,Juvenil,0,3,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
34,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,5,NaN,20, Macrocystis pyrifera ,Adulto,0,3,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
35,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,5,NaN,20, Macrocystis pyrifera ,Juvenil,0,3,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
36,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,6,NaN,20, Lessonia trabeculata ,Adulto,22,01-Mar,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
37,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,6,NaN,20, Lessonia trabeculata ,Juvenil,1,01-Mar,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
38,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,6,NaN,20, Lessonia trabeculata solo disco,NaN,0,01-Mar,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
39,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,6,NaN,20, Lessonia berteroana ,Adulto,0,01-Mar,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
40,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,6,NaN,20, Lessonia berteroana ,Juvenil,0,01-Mar,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
41,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,6,NaN,20, Macrocystis pyrifera ,Adulto,0,01-Mar,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
42,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,6,NaN,20, Macrocystis pyrifera ,Juvenil,0,01-Mar,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
43,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,7,9.3,20, Lessonia trabeculata ,Adulto,69,2,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
44,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,7,9.3,20, Lessonia trabeculata ,Juvenil,2,2,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
45,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,7,9.3,20, Lessonia trabeculata solo disco,NaN,0,2,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
46,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,7,9.3,20, Lessonia berteroana ,Adulto,0,2,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
47,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,7,9.3,20, Lessonia berteroana ,Juvenil,0,2,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
48,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,7,9.3,20, Macrocystis pyrifera ,Adulto,0,2,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
49,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,7,9.3,20, Macrocystis pyrifera ,Juvenil,0,2,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
50,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,8,11.5,20, Lessonia trabeculata ,Adulto,53,2,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
51,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,8,11.5,20, Lessonia trabeculata ,Juvenil,2,2,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
52,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,8,11.5,20, Lessonia trabeculata solo disco,NaN,0,2,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
53,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,8,11.5,20, Lessonia berteroana ,Adulto,0,2,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
54,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,8,11.5,20, Lessonia berteroana ,Juvenil,0,2,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
55,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,8,11.5,20, Macrocystis pyrifera ,Adulto,0,2,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
56,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,8,11.5,20, Macrocystis pyrifera ,Juvenil,0,2,Ene-24,A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
57,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,9,10,20, Lessonia trabeculata ,Adulto,44,01-Mar,1-27(hiodrozoos),A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
58,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,9,10,20, Lessonia trabeculata ,Juvenil,10,01-Mar,1-27(hiodrozoos),A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
59,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,9,10,20, Lessonia trabeculata solo disco,NaN,0,01-Mar,1-27(hiodrozoos),A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
60,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,9,10,20, Lessonia berteroana ,Adulto,0,01-Mar,1-27(hiodrozoos),A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
61,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,9,10,20, Lessonia berteroana ,Juvenil,0,01-Mar,1-27(hiodrozoos),A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
62,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,9,10,20, Macrocystis pyrifera ,Adulto,0,01-Mar,1-27(hiodrozoos),A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
63,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,9,10,20, Macrocystis pyrifera ,Juvenil,0,01-Mar,1-27(hiodrozoos),A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
64,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,10,8.3,20, Lessonia trabeculata ,Adulto,27,01-Mar,1-24-27(hiodrozoos),A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
65,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,10,8.3,20, Lessonia trabeculata ,Juvenil,65,01-Mar,1-24-27(hiodrozoos),A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
66,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,10,8.3,20, Lessonia trabeculata solo disco,NaN,0,01-Mar,1-24-27(hiodrozoos),A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
67,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,10,8.3,20, Lessonia berteroana ,Adulto,0,01-Mar,1-24-27(hiodrozoos),A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
68,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,10,8.3,20, Lessonia berteroana ,Juvenil,0,01-Mar,1-24-27(hiodrozoos),A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
69,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,10,8.3,20, Macrocystis pyrifera ,Adulto,0,01-Mar,1-24-27(hiodrozoos),A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
70,28-10-18,28,10,2018,Carrizal Bajo,AMERB,1,-28.04086,-71.15188833,-28.0405,-71.15263833,10,8.3,20, Macrocystis pyrifera ,Juvenil,0,01-Mar,1-24-27(hiodrozoos),A,GPS amarillo pancha,Catalina Ruz,Catalina Ruz,Bryan Bularz
71,28-10-18,28,10,2018,Carrizal Bajo,AMERB,2,-28.04308333,-71.15388833,-28.042305,-71.15463833,1,15.5,20, Lessonia trabeculata ,Adulto,18,2,1-14-20,A,WP 162- WP 163 GPS de la pancha,Bryan Bularz,Bryan Bularz,Bryan Bularz
72,28-10-18,28,10,2018,Carrizal Bajo,AMERB,2,-28.04308333,-71.15388833,-28.042305,-71.15463833,1,15.5,20, Lessonia trabeculata ,Juvenil,52,2,1-14-20,A,WP 162- WP 163 GPS de la pancha,Bryan Bularz,Bryan Bularz,Bryan Bularz
73,28-10-18,28,10,2018,Carrizal Bajo,AMERB,2,-28.04308333,-71.15388833,-28.042305,-71.15463833,1,15.5,20, Lessonia trabeculata solo disco,NaN,0,2,1-14-20,A,WP 162- WP 163 GPS de la pancha,Bryan Bularz,Bryan Bularz,Bryan Bularz
74,28-10-18,28,10,2018,Carrizal Bajo,AMERB,2,-28.04308333,-71.15388833,-28.042305,-71.15463833,1,15.5,20, Lessonia berteroana ,Adulto,0,2,1-14-20,A,WP 162- WP 163 GPS de la pancha,Bryan Bularz,Bryan Bularz,Bryan Bularz
75,28-10-18,28,10,2018,Carrizal Bajo,AMERB,2,-28.04308333,-71.15388833,-28.042305,-71.15463833,1,15.5,20, Lessonia berteroana ,Juvenil,0,2,1-14-20,A,WP 162- WP 163 GPS de la pancha,Bryan Bularz,Bryan Bularz,Bryan Bularz
76,28-10-18,28,10,2018,Carrizal Bajo,AMERB,2,-28.04308333,-71.15388833,-28.042305,-71.15463833,1,15.5,20, Macrocystis pyrifera ,Adulto,0,2,1-14-20,A,WP 162- WP 163 GPS de la pancha,Bryan Bularz,Bryan Bularz,Bryan Bularz
77,28-10-18,28,10,2018,Carrizal Bajo,AMERB,2,-28.04308333,-71.15388833,-28.042305,-71.15463833,1,15.5,20, Macrocystis pyrifera ,Juvenil,0,2,1-14-20,A,WP 162- WP 163 GPS de la pancha,Bryan Bularz,Bryan Bularz,Bryan Bularz
78,28-10-18,28,10,2018,Carrizal Bajo,AMERB,2,-28.04308333,-71.15388833,-28.042305,-71.15463833,2,14.5,20, Lessonia trabeculata ,Adulto,30,2,1-14-20,A,WP 162- WP 163 GPS de la pancha,Bryan Bularz,Bryan Bularz,Bryan Bularz
79,28-10-18,28,10,2018,Carrizal Bajo,AMERB,2,-28.04308333,-71.15388833,-28.042305,-71.15463833,2,14.5,20, Lessonia trabeculata ,Juvenil,6,2,1-14-20,A,WP 162- WP 163 GPS de la pancha,Bryan Bularz,Bryan Bularz,Bryan Bularz
80,28-10-18,28,10,2018,Carrizal Bajo,AMERB,2,-28.04308333,-71.15388833,-28.042305,-71.15463833,2,14.5,20, Lessonia trabeculata solo disco,NaN,0,2,1-14-20,A,WP 162- WP 163 GPS de la pancha,Bryan Bularz,Bryan Bularz,Bryan Bularz
81,28-10-18,28,10,2018,Carrizal Bajo,AMERB,2,-28.04308333,-71.15388833,-28.042305,-71.15463833,2,14.5,20, Lessonia berteroana ,Adulto,0,2,1-14-20,A,WP 162- WP 163 GPS de la pancha,Bryan Bularz,Bryan Bularz,Bryan Bularz
82,28-10-18,28,10,2018,Carrizal Bajo,AMERB,2,-28.04308333,-71.15388833,-28.042305,-71.15463833,2,14.5,20, Lessonia berteroana ,Juvenil,0,2,1-14-20,A,WP 162- WP 163 GPS de la pancha,Bryan Bularz,Bryan Bularz,Bryan Bularz
83,28-10-18,28,10,2018,Carrizal Bajo,AMERB,2,-28.04308333,-71.15388833,-28.042305,-71.15463833,2,14.5,20, Macrocystis pyrifera ,Adulto,0,2,1-14-20,A,WP 162- WP 163 GPS de la pancha,Bryan Bularz,Bryan Bularz,Bryan Bularz
84,28-10-18,28,10,2018,Carrizal Bajo,AMERB,2,-28.04308333,-71.15388833,-28.042305,-71.15463833,2,14.5,20, Macrocystis pyrifera ,Juvenil,0,2,1-14-20,A,WP 162- WP 163 GPS de la pancha,Bryan Bularz,Bryan Bularz,Bryan Bularz
85,28-10-18,28,10,2018,Carrizal Bajo,AMERB,2,-28.04308333,-71.15388833,-28.042305,-71.15463833,3,14.1,20, Lessonia trabeculata ,Adulto,11,2,1-14-20,A,WP 162- WP 163 GPS de la pancha,Bryan Bularz,Bryan Bularz,Bryan Bularz
86,28-10-18,28,10,2018,Carrizal Bajo,AMERB,2,-28.04308333,-71.15388833,-28.042305,-71.15463833,3,14.1,20, Lessonia trabeculata ,Juvenil,20,2,1-14-20,A,WP 162- WP 163 GPS de la pancha,Bryan Bularz,Bryan Bularz,Bryan Bularz
87,28-10-18,28,10,2018,Carrizal Bajo,AMERB,2,-28.04308333,-71.15388833,-28.042305,-71.15463833,3,14.1,20, Lessonia trabeculata solo disco,NaN,0,2,1-14-20,A,WP 162- WP 163 GPS de la pancha,Bryan Bularz,Bryan Bularz,Bryan Bularz
88,28-10-18,28,10,2018,Carrizal Bajo,AMERB,2,-28.04308333,-71.15388833,-28.042305,-71.15463833,3,14.1,20, Lessonia berteroana ,Adulto,0,2,1-14-20,A,WP 162- WP 163 GPS de la pancha,Bryan Bularz,Bryan Bularz,Bryan Bularz
89,28-10-18,28,10,2018,Carrizal Bajo,AMERB,2,-28.04308333,-71.15388833,-28.042305,-71.15463833,3,14.1,20, Lessonia berteroana ,Juvenil,0,2,1-14-20,A,WP 162- WP 163 GPS de la pancha,Bryan Bularz,Bryan Bularz,Bryan Bularz
90,28-10-18,28,10,2018,Carrizal Bajo,AMERB,2,-28.04308333,-71.15388833,-28.042305,-71.15463833,3,14.1,20, Macrocystis pyrifera ,Adulto,0,2,1-14-20,A,WP 162- WP 163 GPS de la pancha,Bryan Bularz,Bryan Bularz,Bryan Bularz
91,28-10-18,28,10,2018,Carrizal Bajo,AMERB,2,-28.04308333,-71.15388833,-28.042305,-71.15463833,3,14.1,20, Macrocystis pyrifera ,Juvenil,0,2,1-14-20,A,WP 162- WP 163 GPS de la pancha,Bryan Bularz,Bryan Bularz,Bryan Bularz
92,28-10-18,28,10,2018,Carrizal Bajo,AMERB,2,-28.04308333,-71.15388833,-28.042305,-71.15463833,4,14.6,20, Lessonia trabeculata ,Adulto,26,2,1-14-20,A,WP 162- WP 163 GPS de la pancha,Bryan Bularz,Bryan Bularz,Bryan Bularz
93,28-10-18,28,10,2018,Carrizal Bajo,AMERB,2,-28.04308333,-71.15388833,-28.042305,-71.15463833,4,14.6,20, Lessonia trabeculata ,Juvenil,0,2,1-14-20,A,WP 162- WP 163 GPS de la pancha,Bryan Bularz,Bryan Bularz,Bryan Bularz
94,28-10-18,28,10,2018,Carrizal Bajo,AMERB,2,-28.04308333,-71.15388833,-28.042305,-71.15463833,4,14.6,20, Lessonia trabeculata solo disco,NaN,0,2,1-14-20,A,WP 162- WP 163 GPS de la pancha,Bryan Bularz,Bryan Bularz,Bryan Bularz
95,28-10-18,28,10,2018,Carrizal Bajo,AMERB,2,-28.04308333,-71.15388833,-28.042305,-71.15463833,4,14.6,20, Lessonia berteroana ,Adulto,0,2,1-14-20,A,WP 162- WP 163 GPS de la pancha,Bryan Bularz,Bryan Bularz,Bryan Bularz
96,28-10-18,28,10,2018,Carrizal Bajo,AMERB,2,-28.04308333,-71.15388833,-28.042305,-71.15463833,4,14.6,20, Lessonia berteroana ,Juvenil,0,2,1-14-20,A,WP 162- WP 163 GPS de la pancha,Bryan Bularz,Bryan Bularz,Bryan Bularz
97,28-10-18,28,10,2018,Carrizal Bajo,AMERB,2,-28.04308333,-71.15388833,-28.042305,-71.15463833,4,14.6,20, Macrocystis pyrifera ,Adulto,0,2,1-14-20,A,WP 162- WP 163 GPS de la pancha,Bryan Bularz,Bryan Bularz,Bryan Bularz
98,28-10-18,28,10,2018,Carrizal Bajo,AMERB,2,-28.04308333,-71.15388833,-28.042305,-71.15463833,4,14.6,20, Macrocystis pyrifera ,Juvenil,0,2,1-14-20,A,WP 162- WP 163 GPS de la pancha,Bryan Bularz,Bryan Bularz,Bryan Bularz
99,28-10-18,28,10,2018,Carrizal Bajo,AMERB,2,-28.04308333,-71.15388833,-28.042305,-71.15463833,5,12.8,20, Lessonia trabeculata ,Adulto,40,2,1-14-20,A,WP 162- WP 163 GPS de la pancha,Bryan Bularz,Bryan Bularz,Bryan Bularz
