"","Date","Survey.Number","MAE","Zone","Site","Management","Upwelling","Latitude","Longitude","Surveyor.Name","Patch","Quad","Quad.area","Species","Stage","Density","Cover total points","Cover"
"12",2020-10-04,1,12,"Central","Los Molles","OA","N",-32.208583,-71.526367,"Camila Gonzalez","3",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"13",2020-10-04,1,12,"Central","Los Molles","OA","N",-32.20855,-71.526483,"Catalina Ruz","4",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"14",2020-10-04,1,12,"Central","Los Molles","OA","N",-32.20855,-71.526483,"Catalina Ruz","4",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"15",2020-10-04,1,12,"Central","Los Molles","OA","N",-32.20855,-71.526483,"Catalina Ruz","4",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"16",2020-10-04,1,12,"Central","Los Molles","OA","N",-32.20855,-71.526483,"Catalina Ruz","4",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"17",2020-10-23,1,12,"Central","La Ballena","TURF","N",-32.31086,-71.47646,"Nicolas Riquelme","1",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"18",2020-10-23,1,12,"Central","La Ballena","TURF","N",-32.31086,-71.47646,"Nicolas Riquelme","1",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"19",2020-10-23,1,12,"Central","La Ballena","TURF","N",-32.31086,-71.47646,"Nicolas Riquelme","1",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"20",2020-10-23,1,12,"Central","La Ballena","TURF","N",-32.31086,-71.47646,"Nicolas Riquelme","1",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"21",2020-10-23,1,12,"Central","La Ballena","TURF","N",-32.31101,-71.47634,"Nicolas Riquelme","2",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"22",2020-10-23,1,12,"Central","La Ballena","TURF","N",-32.31101,-71.47634,"Nicolas Riquelme","2",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"23",2020-10-23,1,12,"Central","La Ballena","TURF","N",-32.31101,-71.47634,"Nicolas Riquelme","2",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"24",2020-10-23,1,12,"Central","La Ballena","TURF","N",-32.31101,-71.47634,"Nicolas Riquelme","2",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"25",2020-10-23,1,12,"Central","La Ballena","TURF","N",-32.31109,-71.4763,"Nicolas Riquelme","3",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"26",2020-10-23,1,12,"Central","La Ballena","TURF","N",-32.31109,-71.4763,"Nicolas Riquelme","3",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"27",2020-10-23,1,12,"Central","La Ballena","TURF","N",-32.31109,-71.4763,"Nicolas Riquelme","3",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"28",2020-10-23,1,12,"Central","La Ballena","TURF","N",-32.31109,-71.4763,"Nicolas Riquelme","3",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"29",2020-10-23,1,12,"Central","La Ballena","TURF","N",-32.3112,-71.47638,"Nicolas Riquelme","4",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"30",2020-10-23,1,12,"Central","La Ballena","TURF","N",-32.3112,-71.47638,"Nicolas Riquelme","4",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"31",2020-10-23,1,12,"Central","La Ballena","TURF","N",-32.3112,-71.47638,"Nicolas Riquelme","4",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"32",2020-10-23,1,12,"Central","La Ballena","TURF","N",-32.3112,-71.47638,"Nicolas Riquelme","4",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"33",2020-11-01,1,12,"North-Central","Chanaral de Aceituno TURF","TURF","Y",-29.14177,-71.5013,"Camila Gonzalez","1",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"34",2020-11-01,1,12,"North-Central","Chanaral de Aceituno TURF","TURF","Y",-29.14177,-71.5013,"Camila Gonzalez","1",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"35",2020-11-01,1,12,"North-Central","Chanaral de Aceituno TURF","TURF","Y",-29.14177,-71.5013,"Camila Gonzalez","1",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"36",2020-11-01,1,12,"North-Central","Chanaral de Aceituno TURF","TURF","Y",-29.14177,-71.5013,"Camila Gonzalez","1",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"37",2020-11-01,1,12,"North-Central","Chanaral de Aceituno TURF","TURF","Y",-29.14186,-71.50125,"Camila Gonzalez","2",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"38",2020-11-01,1,12,"North-Central","Chanaral de Aceituno TURF","TURF","Y",-29.14186,-71.50125,"Camila Gonzalez","2",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"39",2020-11-01,1,12,"North-Central","Chanaral de Aceituno TURF","TURF","Y",-29.14186,-71.50125,"Camila Gonzalez","2",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"40",2020-11-01,1,12,"North-Central","Chanaral de Aceituno TURF","TURF","Y",-29.14186,-71.50125,"Camila Gonzalez","2",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"41",2020-11-01,1,12,"North-Central","Chanaral de Aceituno TURF","TURF","Y",-29.14196,-71.50123,"Alejandro Perez","3",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"42",2020-11-01,1,12,"North-Central","Chanaral de Aceituno TURF","TURF","Y",-29.14196,-71.50123,"Alejandro Perez","3",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"43",2020-11-01,1,12,"North-Central","Chanaral de Aceituno TURF","TURF","Y",-29.14196,-71.50123,"Alejandro Perez","3",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"44",2020-11-01,1,12,"North-Central","Chanaral de Aceituno TURF","TURF","Y",-29.14196,-71.50123,"Alejandro Perez","3",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"45",2020-11-01,1,12,"North-Central","Chanaral de Aceituno TURF","TURF","Y",-29.14208,-71.50133,"Alejandro Perez","4",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"46",2020-11-01,1,12,"North-Central","Chanaral de Aceituno TURF","TURF","Y",-29.14208,-71.50133,"Alejandro Perez","4",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"47",2020-11-01,1,12,"North-Central","Chanaral de Aceituno TURF","TURF","Y",-29.14208,-71.50133,"Alejandro Perez","4",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"48",2020-11-01,1,12,"North-Central","Chanaral de Aceituno TURF","TURF","Y",-29.14208,-71.50133,"Alejandro Perez","4",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"49",2020-11-01,1,12,"North-Central","Chanaral de Aceituno OA","OA","Y",-29.04989,-71.48627,"Camila Gonzalez","1",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"50",2020-11-01,1,12,"North-Central","Chanaral de Aceituno OA","OA","Y",-29.04989,-71.48627,"Camila Gonzalez","1",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"51",2020-11-01,1,12,"North-Central","Chanaral de Aceituno OA","OA","Y",-29.04989,-71.48627,"Camila Gonzalez","1",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"52",2020-11-01,1,12,"North-Central","Chanaral de Aceituno OA","OA","Y",-29.04989,-71.48627,"Camila Gonzalez","1",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"53",2020-11-01,1,12,"North-Central","Chanaral de Aceituno OA","OA","Y",-29.04983,-71.48627,"Camila Gonzalez","2",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"54",2020-11-01,1,12,"North-Central","Chanaral de Aceituno OA","OA","Y",-29.04983,-71.48627,"Camila Gonzalez","2",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"55",2020-11-01,1,12,"North-Central","Chanaral de Aceituno OA","OA","Y",-29.04983,-71.48627,"Camila Gonzalez","2",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"56",2020-11-01,1,12,"North-Central","Chanaral de Aceituno OA","OA","Y",-29.04983,-71.48627,"Camila Gonzalez","2",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"57",2020-11-01,1,12,"North-Central","Chanaral de Aceituno OA","OA","Y",-29.04995,-71.4863,"Alejandro Perez","3",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"58",2020-11-01,1,12,"North-Central","Chanaral de Aceituno OA","OA","Y",-29.04995,-71.4863,"Alejandro Perez","3",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"59",2020-11-01,1,12,"North-Central","Chanaral de Aceituno OA","OA","Y",-29.04995,-71.4863,"Alejandro Perez","3",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"60",2020-11-01,1,12,"North-Central","Chanaral de Aceituno OA","OA","Y",-29.04995,-71.4863,"Alejandro Perez","3",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"61",2020-11-01,1,12,"North-Central","Chanaral de Aceituno OA","OA","Y",-29.05005,-71.48637,"Alejandro Perez","4",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"62",2020-11-01,1,12,"North-Central","Chanaral de Aceituno OA","OA","Y",-29.05005,-71.48637,"Alejandro Perez","4",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"63",2020-11-01,1,12,"North-Central","Chanaral de Aceituno OA","OA","Y",-29.05005,-71.48637,"Alejandro Perez","4",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"64",2020-11-01,1,12,"North-Central","Chanaral de Aceituno OA","OA","Y",-29.05005,-71.48637,"Alejandro Perez","4",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"65",2020-11-12,1,12,"North","Isla Grande de Atacama","TURF","N",-27.26293,-70.95882,"Camila Gonzalez","1",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"66",2020-11-12,1,12,"North","Isla Grande de Atacama","TURF","N",-27.26293,-70.95882,"Camila Gonzalez","1",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"67",2020-11-12,1,12,"North","Isla Grande de Atacama","TURF","N",-27.26293,-70.95882,"Camila Gonzalez","1",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"68",2020-11-12,1,12,"North","Isla Grande de Atacama","TURF","N",-27.26293,-70.95882,"Camila Gonzalez","1",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"69",2020-11-12,1,12,"North","Isla Grande de Atacama","TURF","N",-27.26296,-70.95869,"Camila Gonzalez","2",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"70",2020-11-12,1,12,"North","Isla Grande de Atacama","TURF","N",-27.26296,-70.95869,"Camila Gonzalez","2",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"71",2020-11-12,1,12,"North","Isla Grande de Atacama","TURF","N",-27.26296,-70.95869,"Camila Gonzalez","2",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"72",2020-11-12,1,12,"North","Isla Grande de Atacama","TURF","N",-27.26296,-70.95869,"Camila Gonzalez","2",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"73",2020-11-12,1,12,"North","Isla Grande de Atacama","TURF","N",-27.26299,-70.95893,"Juan Pablo Si<U+00F1>uela","3",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"74",2020-11-12,1,12,"North","Isla Grande de Atacama","TURF","N",-27.26299,-70.95893,"Juan Pablo Si<U+00F1>uela","3",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"75",2020-11-12,1,12,"North","Isla Grande de Atacama","TURF","N",-27.26299,-70.95893,"Juan Pablo Si<U+00F1>uela","3",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"76",2020-11-12,1,12,"North","Isla Grande de Atacama","TURF","N",-27.26299,-70.95893,"Juan Pablo Si<U+00F1>uela","3",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"77",2020-11-12,1,12,"North","Isla Grande de Atacama","TURF","N",-27.26292,-70.95905,"Juan Pablo Si<U+00F1>uela","4",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"78",2020-11-12,1,12,"North","Isla Grande de Atacama","TURF","N",-27.26292,-70.95905,"Juan Pablo Si<U+00F1>uela","4",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"79",2020-11-12,1,12,"North","Isla Grande de Atacama","TURF","N",-27.26292,-70.95905,"Juan Pablo Si<U+00F1>uela","4",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"80",2020-11-12,1,12,"North","Isla Grande de Atacama","TURF","N",-27.26292,-70.95905,"Juan Pablo Si<U+00F1>uela","4",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"81",2020-11-13,1,12,"North","Puerto Viejo","OA","N",-27.33765,-70.97726,"Alejandro Perez","3",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"82",2020-11-13,1,12,"North","Puerto Viejo","OA","N",-27.33765,-70.97726,"Alejandro Perez","3",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"83",2020-11-13,1,12,"North","Puerto Viejo","OA","N",-27.33765,-70.97726,"Alejandro Perez","3",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"84",2020-11-13,1,12,"North","Puerto Viejo","OA","N",-27.33765,-70.97726,"Alejandro Perez","3",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"85",2020-11-13,1,12,"North","Puerto Viejo","OA","N",-27.33782,-70.97746,"Alejandro Perez","4",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"86",2020-11-13,1,12,"North","Puerto Viejo","OA","N",-27.33782,-70.97746,"Alejandro Perez","4",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"87",2020-11-13,1,12,"North","Puerto Viejo","OA","N",-27.33782,-70.97746,"Alejandro Perez","4",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"88",2020-11-13,1,12,"North","Puerto Viejo","OA","N",-27.33782,-70.97746,"Alejandro Perez","4",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"89",2020-11-13,1,12,"North","Puerto Viejo","OA","N",-27.33755,-70.97712,"Camila Gonzalez","1",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"90",2020-11-13,1,12,"North","Puerto Viejo","OA","N",-27.33755,-70.97712,"Camila Gonzalez","1",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"91",2020-11-13,1,12,"North","Puerto Viejo","OA","N",-27.33755,-70.97712,"Camila Gonzalez","1",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"92",2020-11-13,1,12,"North","Puerto Viejo","OA","N",-27.33755,-70.97712,"Camila Gonzalez","1",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"93",2020-11-13,1,12,"North","Puerto Viejo","OA","N",-27.33778,-70.97704,"Camila Gonzalez","2",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"94",2020-11-13,1,12,"North","Puerto Viejo","OA","N",-27.33778,-70.97704,"Camila Gonzalez","2",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"95",2020-11-13,1,12,"North","Puerto Viejo","OA","N",-27.33778,-70.97704,"Camila Gonzalez","2",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"96",2020-11-13,1,12,"North","Puerto Viejo","OA","N",-27.33778,-70.97704,"Camila Gonzalez","2",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"97",2021-03-16,2,18,"Central","La Ballena","TURF","N",-32.31109,-71.4763,"Catalina Ruz","3",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"98",2021-03-16,2,18,"Central","La Ballena","TURF","N",-32.31109,-71.4763,"Catalina Ruz","3",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"99",2021-03-16,2,18,"Central","La Ballena","TURF","N",-32.31109,-71.4763,"Catalina Ruz","3",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"100",2021-03-16,2,18,"Central","La Ballena","TURF","N",-32.31109,-71.4763,"Catalina Ruz","3",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"101",2021-03-16,2,18,"Central","La Ballena","TURF","N",-32.3112,-71.47638,"Catalina Ruz","4",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"102",2021-03-16,2,18,"Central","La Ballena","TURF","N",-32.3112,-71.47638,"Catalina Ruz","4",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"103",2021-03-16,2,18,"Central","La Ballena","TURF","N",-32.3112,-71.47638,"Catalina Ruz","4",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"104",2021-03-16,2,18,"Central","La Ballena","TURF","N",-32.3112,-71.47638,"Catalina Ruz","4",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"105",2021-03-16,2,18,"Central","La Ballena","TURF","N",-32.31086,-71.47646,"Juan Pablo Si<U+00F1>uela","1",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"106",2021-03-16,2,18,"Central","La Ballena","TURF","N",-32.31086,-71.47646,"Juan Pablo Si<U+00F1>uela","1",2,1,"Lessonia trabeculata","Adult",1,"NA","NA"
"107",2021-03-16,2,18,"Central","La Ballena","TURF","N",-32.31086,-71.47646,"Juan Pablo Si<U+00F1>uela","1",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"108",2021-03-16,2,18,"Central","La Ballena","TURF","N",-32.31086,-71.47646,"Juan Pablo Si<U+00F1>uela","1",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"109",2021-03-16,2,18,"Central","La Ballena","TURF","N",-32.31101,-71.47634,"Juan Pablo Si<U+00F1>uela","2",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"110",2021-03-16,2,18,"Central","La Ballena","TURF","N",-32.31101,-71.47634,"Juan Pablo Si<U+00F1>uela","2",2,1,"Lessonia trabeculata","Adult",1,"NA","NA"
"111",2021-03-16,2,18,"Central","La Ballena","TURF","N",-32.31101,-71.47634,"Juan Pablo Si<U+00F1>uela","2",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"112",2021-03-16,2,18,"Central","La Ballena","TURF","N",-32.31101,-71.47634,"Juan Pablo Si<U+00F1>uela","2",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"113",2021-03-18,2,18,"Central","Los Molles","OA","N",-32.208667,-71.526533,"Juan Pablo Si<U+00F1>uela","1",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"114",2021-03-18,2,18,"Central","Los Molles","OA","N",-32.208667,-71.526533,"Juan Pablo Si<U+00F1>uela","1",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"115",2021-03-18,2,18,"Central","Los Molles","OA","N",-32.208667,-71.526533,"Juan Pablo Si<U+00F1>uela","1",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"116",2021-03-18,2,18,"Central","Los Molles","OA","N",-32.208667,-71.526533,"Juan Pablo Si<U+00F1>uela","1",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"117",2021-03-18,2,18,"Central","Los Molles","OA","N",-32.208567,-71.526583,"Juan Pablo Si<U+00F1>uela","2",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"118",2021-03-18,2,18,"Central","Los Molles","OA","N",-32.208567,-71.526583,"Juan Pablo Si<U+00F1>uela","2",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"119",2021-03-18,2,18,"Central","Los Molles","OA","N",-32.208567,-71.526583,"Juan Pablo Si<U+00F1>uela","2",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"120",2021-03-18,2,18,"Central","Los Molles","OA","N",-32.208567,-71.526583,"Juan Pablo Si<U+00F1>uela","2",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"121",2021-03-18,2,18,"Central","Los Molles","OA","N",-32.208583,-71.526367,"Catalina Ruz","3",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"122",2021-03-18,2,18,"Central","Los Molles","OA","N",-32.208583,-71.526367,"Catalina Ruz","3",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"123",2021-03-18,2,18,"Central","Los Molles","OA","N",-32.208583,-71.526367,"Catalina Ruz","3",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"124",2021-03-18,2,18,"Central","Los Molles","OA","N",-32.208583,-71.526367,"Catalina Ruz","3",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"125",2021-03-18,2,18,"Central","Los Molles","OA","N",-32.20855,-71.526483,"Catalina Ruz","4",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"126",2021-03-18,2,18,"Central","Los Molles","OA","N",-32.20855,-71.526483,"Catalina Ruz","4",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"127",2021-03-18,2,18,"Central","Los Molles","OA","N",-32.20855,-71.526483,"Catalina Ruz","4",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"128",2021-03-18,2,18,"Central","Los Molles","OA","N",-32.20855,-71.526483,"Catalina Ruz","4",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"129",2021-03-31,2,18,"North","Isla Grande de Atacama","TURF","N",-27.26293,-70.95882,"Juan Pablo Si<U+00F1>uela","1",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"130",2021-03-31,2,18,"North","Isla Grande de Atacama","TURF","N",-27.26293,-70.95882,"Juan Pablo Si<U+00F1>uela","1",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"131",2021-03-31,2,18,"North","Isla Grande de Atacama","TURF","N",-27.26293,-70.95882,"Juan Pablo Si<U+00F1>uela","1",3,1,"Lessonia trabeculata","Adult",2,"NA","NA"
"132",2021-03-31,2,18,"North","Isla Grande de Atacama","TURF","N",-27.26293,-70.95882,"Juan Pablo Si<U+00F1>uela","1",4,1,"Lessonia trabeculata","Adult",1,"NA","NA"
"133",2021-03-31,2,18,"North","Isla Grande de Atacama","TURF","N",-27.26296,-70.95869,"Catalina Ruz","2",1,1,"Lessonia trabeculata","Adult",1,"NA","NA"
"134",2021-03-31,2,18,"North","Isla Grande de Atacama","TURF","N",-27.26296,-70.95869,"Catalina Ruz","2",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"135",2021-03-31,2,18,"North","Isla Grande de Atacama","TURF","N",-27.26296,-70.95869,"Catalina Ruz","2",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"136",2021-03-31,2,18,"North","Isla Grande de Atacama","TURF","N",-27.26296,-70.95869,"Catalina Ruz","2",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"137",2021-03-31,2,18,"North","Isla Grande de Atacama","TURF","N",-27.26299,-70.95893,"Juan Pablo Si<U+00F1>uela","3",1,1,"Lessonia trabeculata","Adult",1,"NA","NA"
"138",2021-03-31,2,18,"North","Isla Grande de Atacama","TURF","N",-27.26299,-70.95893,"Juan Pablo Si<U+00F1>uela","3",2,1,"Lessonia trabeculata","Adult",5,"NA","NA"
"139",2021-03-31,2,18,"North","Isla Grande de Atacama","TURF","N",-27.26299,-70.95893,"Juan Pablo Si<U+00F1>uela","3",3,1,"Lessonia trabeculata","Adult",3,"NA","NA"
"140",2021-03-31,2,18,"North","Isla Grande de Atacama","TURF","N",-27.26299,-70.95893,"Juan Pablo Si<U+00F1>uela","3",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"141",2021-03-31,2,18,"North","Isla Grande de Atacama","TURF","N",-27.26292,-70.95905,"Catalina Ruz","4",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"142",2021-03-31,2,18,"North","Isla Grande de Atacama","TURF","N",-27.26292,-70.95905,"Catalina Ruz","4",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"143",2021-03-31,2,18,"North","Isla Grande de Atacama","TURF","N",-27.26292,-70.95905,"Catalina Ruz","4",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"144",2021-03-31,2,18,"North","Isla Grande de Atacama","TURF","N",-27.26292,-70.95905,"Catalina Ruz","4",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"145",2021-04-03,2,18,"North-Central","Chanaral de Aceituno TURF","TURF","Y",-29.14177,-71.5013,"Juan Pablo Si<U+00F1>uela","1",1,1,"Lessonia trabeculata","Adult",1,"NA","NA"
"146",2021-04-03,2,18,"North-Central","Chanaral de Aceituno TURF","TURF","Y",-29.14177,-71.5013,"Juan Pablo Si<U+00F1>uela","1",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"147",2021-04-03,2,18,"North-Central","Chanaral de Aceituno TURF","TURF","Y",-29.14177,-71.5013,"Juan Pablo Si<U+00F1>uela","1",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"148",2021-04-03,2,18,"North-Central","Chanaral de Aceituno TURF","TURF","Y",-29.14177,-71.5013,"Juan Pablo Si<U+00F1>uela","1",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"149",2021-04-03,2,18,"North-Central","Chanaral de Aceituno TURF","TURF","Y",-29.14186,-71.50125,"Juan Pablo Si<U+00F1>uela","2",1,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"150",2021-04-03,2,18,"North-Central","Chanaral de Aceituno TURF","TURF","Y",-29.14186,-71.50125,"Juan Pablo Si<U+00F1>uela","2",2,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"151",2021-04-03,2,18,"North-Central","Chanaral de Aceituno TURF","TURF","Y",-29.14186,-71.50125,"Juan Pablo Si<U+00F1>uela","2",3,1,"Lessonia trabeculata","Adult",0,"NA","NA"
"152",2021-04-03,2,18,"North-Central","Chanaral de Aceituno TURF","TURF","Y",-29.14186,-71.50125,"Juan Pablo Si<U+00F1>uela","2",4,1,"Lessonia trabeculata","Adult",0,"NA","NA"
