Serie,Date,Day,Month,Year,Site,Management,Transect,Quadrats,Place_in_transect ,Depth,Group,Species,Presence,Abundance,Holdfast,Stipes,TL,Frondosity,Obs,Sampler,Anotate,Entered by
24,08-02-2018,8,2,2018,Ventanas,TURF,5,2,,12.6,Animal,Taliepus marginatus,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
25,08-02-2018,8,2,2018,Ventanas,TURF,5,2,,12.6,Animal,Stichaster striatus,1,6,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
26,08-02-2018,8,2,2018,Ventanas,TURF,5,3,,13.6,Animal,Athyonidium chilensis,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
27,08-02-2018,8,2,2018,Ventanas,TURF,5,3,,13.6,Animal,Concholepas concholepas,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
28,08-02-2018,8,2,2018,Ventanas,TURF,5,3,,13.6,Animal,Tegula tridentata,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
29,08-02-2018,8,2,2018,Ventanas,TURF,5,4,,10.8,Animal,Rhynchocinetes typus,1,6,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
30,08-02-2018,8,2,2018,Ventanas,TURF,5,4,,10.8,Animal,Pagurus edwardsii,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
31,08-02-2018,8,2,2018,Ventanas,TURF,5,4,,10.8,Animal,Allopetrolisthes angulosus,1,5,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
32,08-02-2018,8,2,2018,Ventanas,TURF,5,4,,10.8,Animal,Gaudichaudia gaudichaudii,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
33,08-02-2018,8,2,2018,Ventanas,TURF,5,4,,10.8,Animal,Pyura chilensis,1,NaN,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
34,08-02-2018,8,2,2018,Ventanas,TURF,5,4,,10.8,Animal,Paraxanthus barbiger,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
35,08-02-2018,8,2,2018,Ventanas,TURF,5,4,,10.8,Animal,Crassilabrum crassilabrum,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
36,08-02-2018,8,2,2018,Ventanas,TURF,5,5,,10.9,Animal,Crassilabrum crassilabrum,1,3,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
37,08-02-2018,8,2,2018,Ventanas,TURF,5,5,,10.9,Animal,Antholoba achates,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
38,08-02-2018,8,2,2018,Ventanas,TURF,5,5,,10.9,Animal,Pagurus edwardsii,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
39,08-02-2018,8,2,2018,Ventanas,TURF,5,5,,10.9,Animal,Tegula tridentata,1,5,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
40,08-02-2018,8,2,2018,Ventanas,TURF,5,5,,10.9,Animal,Tetrapygus niger,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
41,08-02-2018,8,2,2018,Ventanas,TURF,5,5,,10.9,Animal,Pachycheles sp,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
42,08-02-2018,8,2,2018,Ventanas,TURF,5,5,,10.9,Animal,Pilumnoides perlatus,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
43,08-02-2018,8,2,2018,Ventanas,TURF,5,5,,10.9,Animal,Rhynchocinetes typus,1,4,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
44,08-02-2018,8,2,2018,Ventanas,TURF,5,5,,10.9,Animal,Homalaspis plana,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
45,08-02-2018,8,2,2018,Ventanas,TURF,5,6,,7.7,Animal,Fissurella sp,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
46,08-02-2018,8,2,2018,Ventanas,TURF,5,6,,7.7,Animal,Pachycheles sp,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
47,08-02-2018,8,2,2018,Ventanas,TURF,5,6,,7.7,Animal,Taliepus marginatus,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
48,08-02-2018,8,2,2018,Ventanas,TURF,5,6,,7.7,Animal,Odontaster penicillatus,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
49,08-02-2018,8,2,2018,Ventanas,TURF,5,6,,7.7,Animal,Acanthopleura echinata,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
50,08-02-2018,8,2,2018,Ventanas,TURF,5,7,,8.3,Animal,Pagurus edwardsii,1,4,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
51,08-02-2018,8,2,2018,Ventanas,TURF,5,7,,8.3,Animal,Athyonidium chilensis,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
52,08-02-2018,8,2,2018,Ventanas,TURF,5,7,,8.3,Animal,Paraxanthus barbiger,1,6,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
53,08-02-2018,8,2,2018,Ventanas,TURF,5,7,,8.3,Animal,Rhynchocinetes typus,1,24,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
54,08-02-2018,8,2,2018,Ventanas,TURF,5,7,,8.3,Animal,Petrolisthes tuberculosus,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
55,08-02-2018,8,2,2018,Ventanas,TURF,5,8,,7.5,Animal,Tonicia sp,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
56,08-02-2018,8,2,2018,Ventanas,TURF,5,8,,7.5,Animal,Fissurella sp,1,3,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
57,08-02-2018,8,2,2018,Ventanas,TURF,5,8,,7.5,Animal,Paraxanthus barbiger,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
58,08-02-2018,8,2,2018,Ventanas,TURF,5,8,,7.5,Animal,Stichaster striatus,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
59,08-02-2018,8,2,2018,Ventanas,TURF,5,8,,7.5,Animal,Taliepus marginatus,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
60,08-02-2018,8,2,2018,Ventanas,TURF,5,8,,7.5,Animal,Tegula atra,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
61,08-02-2018,8,2,2018,Ventanas,TURF,5,9,,7.2,Animal,Fissurella costata,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
62,08-02-2018,8,2,2018,Ventanas,TURF,5,9,,7.2,Animal,Fissurella sp,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
63,08-02-2018,8,2,2018,Ventanas,TURF,5,9,,7.2,Animal,Gaudichaudia gaudichaudii,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
64,08-02-2018,8,2,2018,Ventanas,TURF,5,9,,7.2,Animal,Paraxanthus barbiger,1,4,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
65,08-02-2018,8,2,2018,Ventanas,TURF,5,9,,7.2,Animal,Scurria sp,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
66,08-02-2018,8,2,2018,Ventanas,TURF,5,9,,7.2,Animal,Petrolisthes tuberculosus,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
67,08-02-2018,8,2,2018,Ventanas,TURF,5,10,,6.6,Animal,Patiria chilensis,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
68,08-02-2018,8,2,2018,Ventanas,TURF,5,10,,6.6,Animal,Fissurella sp,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
69,08-02-2018,8,2,2018,Ventanas,TURF,5,10,,6.6,Animal,Tonicia sp,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
70,08-02-2018,8,2,2018,Ventanas,TURF,5,10,,6.6,Animal,Scurria sp,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
71,08-03-2018,8,3,2018,Ventanas,TURF,9,1,,19.5,Animal,Rhynchocinetes typus,1,37,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
72,08-03-2018,8,3,2018,Ventanas,TURF,9,1,,19.5,Animal,Petrolisthes desmarestii,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
73,08-03-2018,8,3,2018,Ventanas,TURF,9,1,,19.5,Animal,Sipunculido,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
74,08-03-2018,8,3,2018,Ventanas,TURF,9,1,,19.5,Animal,Pyura chilensis,1,NaN,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
75,08-03-2018,8,3,2018,Ventanas,TURF,9,2,,17.4,Animal,Tonicia sp,1,9,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
76,08-03-2018,8,3,2018,Ventanas,TURF,9,2,,17.4,Animal,Tetrapygus niger,1,9,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
77,08-03-2018,8,3,2018,Ventanas,TURF,9,2,,17.4,Animal,Rhynchocinetes typus,1,8,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
78,08-03-2018,8,3,2018,Ventanas,TURF,9,2,,17.4,Animal,Pyura chilensis,1,NaN,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
79,08-03-2018,8,3,2018,Ventanas,TURF,9,2,,17.4,Animal,Brachidontes granulata,1,NaN,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
80,08-03-2018,8,3,2018,Ventanas,TURF,9,3,,17.2,Animal,Tegula tridentata,1,179,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
81,08-03-2018,8,3,2018,Ventanas,TURF,9,3,,17.2,Animal,Crassilabrum crassilabrum,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
82,08-03-2018,8,3,2018,Ventanas,TURF,9,3,,17.2,Animal,Fissurella sp,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
83,08-03-2018,8,3,2018,Ventanas,TURF,9,4,,17.5,Animal,Rhynchocinetes typus,1,28,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
84,08-03-2018,8,3,2018,Ventanas,TURF,9,4,,17.5,Animal,Odontaster penicillatus,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
85,08-03-2018,8,3,2018,Ventanas,TURF,9,4,,17.5,Animal,Crassilabrum crassilabrum,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
86,08-03-2018,8,3,2018,Ventanas,TURF,9,4,,17.5,Animal,Pagurus edwardsii,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
87,08-03-2018,8,3,2018,Ventanas,TURF,9,4,,17.5,Animal,Petrolisthes desmarestii,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
88,08-03-2018,8,3,2018,Ventanas,TURF,9,4,,17.5,Animal,Paraxanthus barbiger,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
89,08-03-2018,8,3,2018,Ventanas,TURF,9,4,,17.5,Animal,Homalaspis plana,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
90,08-03-2018,8,3,2018,Ventanas,TURF,9,4,,17.5,Animal,Petrolisthes tuberculosus,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
91,08-03-2018,8,3,2018,Ventanas,TURF,9,5,,15.9,Animal,Rhynchocinetes typus,1,21,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
92,08-03-2018,8,3,2018,Ventanas,TURF,9,5,,15.9,Animal,Argobuccinum pustulosum,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
93,08-03-2018,8,3,2018,Ventanas,TURF,9,5,,15.9,Animal,Crassilabrum crassilabrum,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
94,08-03-2018,8,3,2018,Ventanas,TURF,9,5,,15.9,Animal,Paraxanthus barbiger,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
95,08-03-2018,8,3,2018,Ventanas,TURF,9,5,,15.9,Animal,Gaudichaudia gaudichaudii,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
96,08-03-2018,8,3,2018,Ventanas,TURF,9,6,,13.7,Animal,Rhynchocinetes typus,1,33,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
97,08-03-2018,8,3,2018,Ventanas,TURF,9,6,,13.7,Animal,Petrolisthes desmarestii,1,3,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
98,08-03-2018,8,3,2018,Ventanas,TURF,9,6,,13.7,Animal,Petrolisthes tuberculosus,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
99,08-03-2018,8,3,2018,Ventanas,TURF,9,6,,13.7,Animal,Tetrapygus niger,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
100,08-03-2018,8,3,2018,Ventanas,TURF,9,6,,13.7,Animal,Odontaster penicillatus,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
101,08-03-2018,8,3,2018,Ventanas,TURF,9,7,,10.3,Animal,Stichaster striatus,1,5,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
102,08-03-2018,8,3,2018,Ventanas,TURF,9,7,,10.3,Animal,Meyenaster gelatinosus,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
103,08-03-2018,8,3,2018,Ventanas,TURF,9,7,,10.3,Animal,Tetrapygus niger,1,16,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
104,08-03-2018,8,3,2018,Ventanas,TURF,9,7,,10.3,Animal,Taliepus marginatus,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
105,08-03-2018,8,3,2018,Ventanas,TURF,9,7,,10.3,Animal,Petrolisthes tuberculosus,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
106,08-03-2018,8,3,2018,Ventanas,TURF,9,7,,10.3,Animal,Rhynchocinetes typus,1,5,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
107,08-03-2018,8,3,2018,Ventanas,TURF,9,8,,9.1,Animal,Crassilabrum crassilabrum,1,14,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
108,08-03-2018,8,3,2018,Ventanas,TURF,9,8,,9.1,Animal,Tegula tridentata,1,15,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
109,08-03-2018,8,3,2018,Ventanas,TURF,9,8,,9.1,Animal,Tetrapygus niger,1,4,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
110,08-03-2018,8,3,2018,Ventanas,TURF,9,8,,9.1,Animal,Fissurella sp,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
111,08-03-2018,8,3,2018,Ventanas,TURF,9,8,,9.1,Animal,Tonicia sp,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
112,08-03-2018,8,3,2018,Ventanas,TURF,9,8,,9.1,Animal,Rhynchocinetes typus,1,4,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
113,08-03-2018,8,3,2018,Ventanas,TURF,9,9,,8,Animal,Taliepus marginatus,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
114,08-03-2018,8,3,2018,Ventanas,TURF,9,9,,8,Animal,Tonicia sp,1,2,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
115,08-03-2018,8,3,2018,Ventanas,TURF,9,9,,8,Animal,Tetrapygus niger,1,24,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
116,08-03-2018,8,3,2018,Ventanas,TURF,9,9,,8,Animal,Tegula tridentata,1,13,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
117,08-03-2018,8,3,2018,Ventanas,TURF,9,9,,8,Animal,Petrolisthes tuberculosus,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
118,08-03-2018,8,3,2018,Ventanas,TURF,9,10,,7,Animal,Taliepus marginatus,1,1,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
119,08-03-2018,8,3,2018,Ventanas,TURF,9,10,,7,Animal,Rhynchocinetes typus,1,16,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
120,08-03-2018,8,3,2018,Ventanas,TURF,9,10,,7,Animal,Tetrapygus niger,1,7,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
121,08-03-2018,8,3,2018,Ventanas,TURF,9,10,,7,Animal,Tegula tridentata,1,20,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
122,08-03-2018,8,3,2018,Ventanas,TURF,9,10,,7,Animal,Pagurus edwardsii,1,3,NaN,NaN,NaN,NaN,NaN,Rodrigo Mu–oz,Rodrigo Mu–oz,Rodrigo Mu–oz
