"","Date","Survey.Number","MAE","Zone","Site","Management","Upwelling","Transect","Latitude","Longitude","Surveyor.Name","Station","Area","Depth","Dominant.Substrate.Type","Landscape.Characteristics","Species","Stage","Abundance","Density"
"22",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",3,"-27.336539999999999","-70.976079999999996","Hannah Earp","2",20,"10.5","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",23,1.15
"23",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",3,"-27.336539999999999","-70.976079999999996","Hannah Earp","3",20,"11.3","Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",19,0.95
"24",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",3,"-27.336539999999999","-70.976079999999996","Hannah Earp","4",20,"10.9","Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",9,0.45
"25",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",3,"-27.336539999999999","-70.976079999999996","Hannah Earp","5",20,"10.9","Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",24,1.2
"26",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",3,"-27.336539999999999","-70.976079999999996","Hannah Earp","6",20,"11.3","Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",12,0.6
"27",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",3,"-27.336539999999999","-70.976079999999996","Hannah Earp","7",20,"11.2","Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",18,0.9
"28",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",3,"-27.336539999999999","-70.976079999999996","Hannah Earp","8",20,"11","Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",21,1.05
"29",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",3,"-27.336539999999999","-70.976079999999996","Hannah Earp","9",20,"11.2","Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",8,0.4
"30",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",3,"-27.336539999999999","-70.976079999999996","Hannah Earp","10",20,"12.2","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",8,0.4
"31",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",4,"-27.335149999999999","-70.974590000000006","Adam Gouraguine","1",20,"13.6","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",12,0.6
"32",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",4,"-27.335149999999999","-70.974590000000006","Adam Gouraguine","2",20,"14","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",12,0.6
"33",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",4,"-27.335149999999999","-70.974590000000006","Adam Gouraguine","3",20,"13.7","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",10,0.5
"34",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",4,"-27.335149999999999","-70.974590000000006","Adam Gouraguine","4",20,"12.4","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",6,0.3
"35",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",4,"-27.335149999999999","-70.974590000000006","Adam Gouraguine","5",20,"13.4","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",15,0.75
"36",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",4,"-27.335149999999999","-70.974590000000006","Adam Gouraguine","6",20,"13.1","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",12,0.6
"37",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",4,"-27.335149999999999","-70.974590000000006","Adam Gouraguine","7",20,"13.2","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",4,0.2
"38",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",4,"-27.335149999999999","-70.974590000000006","Adam Gouraguine","8",20,"13.4","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",6,0.3
"39",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",4,"-27.335149999999999","-70.974590000000006","Adam Gouraguine","9",20,"13.3","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",10,0.5
"40",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",4,"-27.335149999999999","-70.974590000000006","Adam Gouraguine","10",20,"13.1","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",11,0.55
"41",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",5,"-27.33681","-70.979730000000004","Rodrigo","1",20,"14.5","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",8,0.4
"42",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",5,"-27.33681","-70.979730000000004","Rodrigo","2",20,"14","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",13,0.65
"43",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",5,"-27.33681","-70.979730000000004","Rodrigo","3",20,"14.6","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",11,0.55
"44",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",5,"-27.33681","-70.979730000000004","Rodrigo","4",20,"15.3","Boulder","Encrusting Algae & Red turf","Lessonia trabeculata","Adult",9,0.45
"45",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",5,"-27.33681","-70.979730000000004","Rodrigo","5",20,"15.7","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",9,0.45
"46",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",5,"-27.33681","-70.979730000000004","Rodrigo","6",20,"14.1","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",23,1.15
"47",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",5,"-27.33681","-70.979730000000004","Rodrigo","7",20,"13","Boulder & Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",20,1
"48",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",5,"-27.33681","-70.979730000000004","Rodrigo","8",20,"12","Boulder & Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",33,1.65
"49",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",5,"-27.33681","-70.979730000000004","Rodrigo","9",20,"11","Boulder & Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",30,1.5
"50",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",5,"-27.33681","-70.979730000000004","Rodrigo","10",20,"12.4","Boulder & Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",39,1.95
"51",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",6,"-27.335909999999998","-70.980320000000006","Diego","1",20,"16.3","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",18,0.9
"52",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",6,"-27.335909999999998","-70.980320000000006","Diego","2",20,"18","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",16,0.8
"53",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",6,"-27.335909999999998","-70.980320000000006","Diego","3",20,"18.5","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",8,0.4
"54",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",6,"-27.335909999999998","-70.980320000000006","Diego","4",20,"21","Boulder & Sand","Red turf","Lessonia trabeculata","Adult",0,0
"55",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",6,"-27.335909999999998","-70.980320000000006","Diego","5",20,"22","Boulder & Sand","Red turf","Lessonia trabeculata","Adult",2,0.1
"56",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",6,"-27.335909999999998","-70.980320000000006","Diego","6",20,"23","Boulder & Sand","Red turf & Encrusting Algae","Lessonia trabeculata","Adult",1,0.05
"57",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",6,"-27.335909999999998","-70.980320000000006","Diego","7",20,"21","Boulder & Sand","Red turf & Encrusting Algae","Lessonia trabeculata","Adult",3,0.15
"58",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",6,"-27.335909999999998","-70.980320000000006","Diego","8",20,"22","Boulder & Sand","Encrusting Algae","Lessonia trabeculata","Adult",11,0.55
"59",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",6,"-27.335909999999998","-70.980320000000006","Diego","9",20,"19","Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",17,0.85
"60",2019-11-11,1,0,"North","Puerto Viejo","OA","nonupwelling",6,"-27.335909999999998","-70.980320000000006","Diego","10",20,"21","Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",7,0.35
"61",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",1,"-27.252320000000001","-70.959739999999996","Hannah Earp","1",20,"9.6999999999999993","Bedrock","Encrusting Algae & Red turf","Lessonia trabeculata","Adult",8,0.4
"62",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",1,"-27.252320000000001","-70.959739999999996","Hannah Earp","2",20,"11","Bedrock & Gravel","Turf","Lessonia trabeculata","Adult",1,0.05
"63",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",1,"-27.252320000000001","-70.959739999999996","Hannah Earp","3",20,"12.1","Boulder","Turf","Lessonia trabeculata","Adult",7,0.35
"64",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",1,"-27.252320000000001","-70.959739999999996","Hannah Earp","4",20,"11.2","Boulder","Turf","Lessonia trabeculata","Adult",6,0.3
"65",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",1,"-27.252320000000001","-70.959739999999996","Hannah Earp","5",20,"10.8","Gravel","Turf","Lessonia trabeculata","Adult",5,0.25
"66",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",1,"-27.252320000000001","-70.959739999999996","Hannah Earp","6",20,"8.6","Bedrock","Asparagopsis","Lessonia trabeculata","Adult",1,0.05
"67",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",1,"-27.252320000000001","-70.959739999999996","Hannah Earp","7",20,"6.7","Bedrock","Asparagopsis","Lessonia trabeculata","Adult",8,0.4
"68",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",1,"-27.252320000000001","-70.959739999999996","Hannah Earp","8",20,"5.9","Bedrock & Boulder","Encrusting Algae","Lessonia trabeculata","Adult",23,1.15
"69",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",1,"-27.252320000000001","-70.959739999999996","Hannah Earp","9",20,"6.5","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",21,1.05
"70",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",1,"-27.252320000000001","-70.959739999999996","Hannah Earp","10",20,"6.1","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",14,0.7
"71",2019-11-17,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",2,"-27.264520000000001","-70.959959999999995","Hannah Earp","1",20,"7.8","Bedrock & Sand","Encrusting Algae","Lessonia trabeculata","Adult",59,2.95
"72",2019-11-17,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",2,"-27.264520000000001","-70.959959999999995","Hannah Earp","2",20,"11","Boulder & Sand","Encrusting Algae & Turf","Lessonia trabeculata","Adult",23,1.15
"73",2019-11-17,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",2,"-27.264520000000001","-70.959959999999995","Hannah Earp","3",20,"10.5","Boulder & Bedrock","Encrusting Algae & Turf","Lessonia trabeculata","Adult",24,1.2
"74",2019-11-17,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",2,"-27.264520000000001","-70.959959999999995","Hannah Earp","4",20,"9.8000000000000007","Boulder & Bedrock","Encrusting Algae & Turf","Lessonia trabeculata","Adult",26,1.3
"75",2019-11-17,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",2,"-27.264520000000001","-70.959959999999995","Hannah Earp","5",20,"9.8000000000000007","Boulder & Sand","Encrusting Algae & Turf","Lessonia trabeculata","Adult",25,1.25
"76",2019-11-17,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",2,"-27.264520000000001","-70.959959999999995","Hannah Earp","6",20,"8.5","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",22,1.1
"77",2019-11-17,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",2,"-27.264520000000001","-70.959959999999995","Hannah Earp","7",20,"8.1999999999999993","Boulder & Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",42,2.1
"78",2019-11-17,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",2,"-27.264520000000001","-70.959959999999995","Hannah Earp","8",20,"6.2","Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",4,0.2
"79",2019-11-17,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",2,"-27.264520000000001","-70.959959999999995","Hannah Earp","9",20,"6.4","Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",21,1.05
"80",2019-11-17,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",2,"-27.264520000000001","-70.959959999999995","Hannah Earp","10",20,"7.1","Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",16,0.8
"81",2019-11-17,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",3,"-27.262889999999999","-70.958209999999994","Hannah Earp","1",20,"11.5","Boulder & Sand","Encrusting Algae","Lessonia trabeculata","Adult",3,0.15
"82",2019-11-17,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",3,"-27.262889999999999","-70.958209999999994","Hannah Earp","2",20,"11.3","Sand & Boulder","Encrusting Algae","Lessonia trabeculata","Adult",1,0.05
"83",2019-11-17,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",3,"-27.262889999999999","-70.958209999999994","Hannah Earp","3",20,"11.2","Sand & Boulder","Encrusting Algae & Turf","Lessonia trabeculata","Adult",0,0
"84",2019-11-17,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",3,"-27.262889999999999","-70.958209999999994","Hannah Earp","4",20,"11.8","Sand & Boulder","Encrusting Algae & Turf","Lessonia trabeculata","Adult",3,0.15
"85",2019-11-17,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",3,"-27.262889999999999","-70.958209999999994","Hannah Earp","5",20,"9.8000000000000007","Bedrock & Boulder","Encrusting Algae & Turf","Lessonia trabeculata","Adult",7,0.35
"86",2019-11-17,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",3,"-27.262889999999999","-70.958209999999994","Hannah Earp","6",20,"10.199999999999999","Bedrock","Turf","Lessonia trabeculata","Adult",9,0.45
"87",2019-11-17,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",3,"-27.262889999999999","-70.958209999999994","Hannah Earp","7",20,"9.1","Bedrock","Turf","Lessonia trabeculata","Adult",16,0.8
"88",2019-11-17,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",3,"-27.262889999999999","-70.958209999999994","Hannah Earp","8",20,"9.3000000000000007","Bedrock","Turf","Lessonia trabeculata","Adult",20,1
"89",2019-11-17,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",3,"-27.262889999999999","-70.958209999999994","Hannah Earp","9",20,"9.5","Sand & Boulder","Turf","Lessonia trabeculata","Adult",4,0.2
"90",2019-11-17,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",3,"-27.262889999999999","-70.958209999999994","Hannah Earp","10",20,"9.4","Sand & Boulder","Turf","Lessonia trabeculata","Adult",7,0.35
"91",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",4,"-27.26191","-70.957260000000005","Adam Gouraguine","1",20,"7.2","Boulder","Turf","Lessonia trabeculata","Adult",15,0.75
"92",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",4,"-27.26191","-70.957260000000005","Adam Gouraguine","2",20,"6.9","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",10,0.5
"93",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",4,"-27.26191","-70.957260000000005","Adam Gouraguine","3",20,"5.5","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",14,0.7
"94",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",4,"-27.26191","-70.957260000000005","Adam Gouraguine","4",20,"6.1","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",17,0.85
"95",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",4,"-27.26191","-70.957260000000005","Adam Gouraguine","5",20,"6.1","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",20,1
"96",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",4,"-27.26191","-70.957260000000005","Adam Gouraguine","6",20,"5.7","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",18,0.9
"97",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",4,"-27.26191","-70.957260000000005","Adam Gouraguine","7",20,"4.5999999999999996","Boulder","Turf","Lessonia trabeculata","Adult",25,1.25
"98",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",4,"-27.26191","-70.957260000000005","Adam Gouraguine","8",20,"5.0999999999999996","Boulder","Turf","Lessonia trabeculata","Adult",24,1.2
"99",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",4,"-27.26191","-70.957260000000005","Adam Gouraguine","9",20,"4.9000000000000004","Boulder","Turf","Lessonia trabeculata","Adult",24,1.2
"100",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",4,"-27.26191","-70.957260000000005","Adam Gouraguine","10",20,"3.4","Boulder","Turf","Lessonia trabeculata","Adult",19,0.95
"101",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",5,"-27.260110000000001","-70.958280000000002","Diego","1",20,"9","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",25,1.25
"102",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",5,"-27.260110000000001","-70.958280000000002","Diego","2",20,"10","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",28,1.4
"103",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",5,"-27.260110000000001","-70.958280000000002","Diego","3",20,"8.5","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",27,1.35
"104",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",5,"-27.260110000000001","-70.958280000000002","Diego","4",20,"8.5","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",28,1.4
"105",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",5,"-27.260110000000001","-70.958280000000002","Diego","5",20,"9","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",31,1.55
"106",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",5,"-27.260110000000001","-70.958280000000002","Diego","6",20,"8","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",29,1.45
"107",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",5,"-27.260110000000001","-70.958280000000002","Diego","7",20,"8","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",25,1.25
"108",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",5,"-27.260110000000001","-70.958280000000002","Diego","8",20,"8.5","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",27,1.35
"109",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",5,"-27.260110000000001","-70.958280000000002","Diego","9",20,"6","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",23,1.15
"110",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",5,"-27.260110000000001","-70.958280000000002","Diego","10",20,"5","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",20,1
"111",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",6,"-27.264299999999999","-70.958449999999999","Rodrigo","1",20,"7.4","Boulder & shell debris","Encrusting Algae","Lessonia trabeculata","Adult",53,2.65
"112",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",6,"-27.264299999999999","-70.958449999999999","Rodrigo","2",20,"7.3","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",33,1.65
"113",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",6,"-27.264299999999999","-70.958449999999999","Rodrigo","3",20,"7","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",48,2.4
"114",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",6,"-27.264299999999999","-70.958449999999999","Rodrigo","4",20,"7.7","Boulder","Encrusting Algae & Hydroid","Lessonia trabeculata","Adult",53,2.65
"115",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",6,"-27.264299999999999","-70.958449999999999","Rodrigo","5",20,"7.1","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",63,3.15
"116",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",6,"-27.264299999999999","-70.958449999999999","Rodrigo","6",20,"7.2","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",57,2.85
"117",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",6,"-27.264299999999999","-70.958449999999999","Rodrigo","7",20,"8.6","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",48,2.4
"118",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",6,"-27.264299999999999","-70.958449999999999","Rodrigo","8",20,"7.3","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",54,2.7
"119",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",6,"-27.264299999999999","-70.958449999999999","Rodrigo","9",20,"7.4","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",43,2.15
"120",2019-11-16,1,0,"North","Isla Grande de Atacama","TURF","nonupwelling",6,"-27.264299999999999","-70.958449999999999","Rodrigo","10",20,"5.9","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",51,2.55
"121",2019-12-12,1,0,"North-Central","Chanaral de Aceituno TURF","TURF","upwelling",1,"-29.142060000000001","-71.500929999999997","Hannah Earp","1",20,"15","Boulder","Encrusting Algae","Lessonia trabeculata","Adult",15,0.75
"122",2019-12-12,1,0,"North-Central","Chanaral de Aceituno TURF","TURF","upwelling",1,"-29.142060000000001","-71.500929999999997","Hannah Earp","2",20,"14.7","Boulder & Sand","Encrusting Algae","Lessonia trabeculata","Adult",11,0.55
"123",2019-12-12,1,0,"North-Central","Chanaral de Aceituno TURF","TURF","upwelling",1,"-29.142060000000001","-71.500929999999997","Hannah Earp","3",20,"12","Bedrock","Encrusting Algae","Lessonia trabeculata","Adult",13,0.65
"124",2019-12-12,1,0,"North-Central","Chanaral de Aceituno TURF","TURF","upwelling",1,"-29.142060000000001","-71.500929999999997","Hannah Earp","4",20,"11.9","Boulder & Cobbles","Encrusting Algae","Lessonia trabeculata","Adult",14,0.7
